Candidate,Round 12 Votes,Round 12 Percentage,Round 13 Votes,Round 13 Percentage,Round 14 Votes,Round 14 Percentage
Lurie,57268,30.81%,77170,43.14%,92459,56.74%
Breed,48893,26.10%,55385,30.96%,70499,43.26%
Peskin,42669,22.96%,46321,25.90%,0,0%
Farrell,37044,19.93%,0,0%,0,0%
