Candidate,Round 4 Votes,Round 4 Percentage,Round 5 Votes,Round 5 Percentage,Round 6 Votes,Round 6 Percentage
Jackie Fielder,14126,44.05%,14703,46.23%,17546,59.66%
Trevor Chandler,9489,29.59%,9730,30.6%,11863,40.34%
Roberto Hernandez,7054,22%,7369,23.17%,0,0%
Stephen Jon Torres,1399,4.36%,0,0%,0,0%
Jaime Gutierrez,0,0%,0,0%,0,0%
Julian Bermudez,0,0%,0,0%,0,0%
H. Brown,0,0%,0,0%,0,0%
