Candidate	Round 1 Votes	Round 1 Percentage	Round 2 Votes	Round 2 Percentage	Round 3 Votes	Round 3 Percentage	Round 4 Votes	Round 4 Percentage	Round 5 Votes	Round 5 Percentage	Round 6 Votes	Round 6 Percentage
Myrna Melgar	7881	20%	7995	20.4%	8667	22.3%	10628	27.9%	11652	31.8%	18561	53.1%
Joel Engardio	23.6	9272%	9423	24%	10391	26.7%	11561	30.3%	14119	38.5%	16370	46.9%
"Vilaska Nguyen "	21	8263%	8404	21.4%	87340	22.5%	9810	25.7%	10855	29.6%	0	0%
Stephen Martin-Pinto	11.7	4599%	4830	12.3%	5597	14.4%	6147	16.1%	0	0%	0	0%
Emily M. Murase	12.5	4934%	5011	12.8%	5500	14.1%	0	0%	0	0%	0	0%
Ben Matranga	8.7	3414%	3581	9.1%	0	0%	0	0%	0	0%	0	0%
Kenneth Piper	2.5	969%	0	0%	0	0%	0	0%	0	0%	0	0%
