Candidate,Round 1 Votes,Round 1 Percentage,Round 2 Votes,Round 2 Percentage,Round 3 Votes,Round 3 Percentage
Myrna Melgar*,17532,46.98%,17771,48.24%,18916,53.42%
Matt Boschetto,13407,35.93%,13687,37.16%,16496,46.58%
Stephen Martin-Pinto,5135,13.76%,5378,14.6%,0,0%
Edward S. Yee,1244,3.33%,0,0%,0,0%
