Candidate,Round 3 Votes,Round 3 Percentage,Round 4 Votes,Round 4 Percentage,Round 5 Votes,Round 5 Percentage
Danny Sauter,11768.0,41.82%,12671.0,46.46%,14012.0,55.01%
Sharon Lai,9156.0,32.54%,9495.0,34.81%,11462.0,44.99%
Moe Jamil,4151.0,14.75%,5107.0,18.73%,0.0,0%
Matthew Susk,3067.0,10.9%,0.0,0%,0.0,0%
Eduard Navarro,0.0,0%,0.0,0%,0.0,0%
Wendy Ha Chau,0.0,0%,0.0,0%,0.0,0%
