Candidate	Round 1 Votes	Round 1 Percentage	Round 2 Votes	Round 2 Percentage	Round 3 Votes	Round 3 Percentage	Round 4 Votes	Round 4 Percentage
Marjan Philhour	7437	43.48%	7578	44.51%	7844	46.82%	8277	50.14%
Connie Chan	7748	45.42	7852	46.12%	7926	47.31%	8231	49.86%
Jen Nossokoff	801	4.68%	839	4.93%	984	5.87%	0	0%
Jeremiah Boehner	686	4.01%	756	4,44%	0	0%	0	0%
Sherman d'Silva	411	2.40%	0	0%	0	0%	0	0%
