Candidate,Round 4 Votes,Round 4 Percentage,Round 5 Votes,Round 5 Percentage,Round 6 Votes,Round 6 Percentage
Chyanne Chen,8736,32.03%,9162,35.31%,12001,50.42%
Michael Lai,9165,33.61%,10235,39.44%,11803,49.58%
"Ernest ""EJ"" Jones",5955,21.84%,6553,25.25%,0,0%
Oscar Flores,3416,12.53%,0,0%,0,0%
Roger K. Marenco,0,0%,0,0%,0,0%
Jose Morales,0,0%,0,0%,0,0%
Adlah Chisti,0,0%,0,0%,0,0%
