name,amount,candidate_or_measure,tx_date,committee_name,position,tag
Independent Expenditure by TogetherSF Action,781.0,RETIREMENT BENEFITS FOR NURSES AND 911 OPERATORS,2024-09-05,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by TogetherSF Action,219.0,RETIREMENT BENEFITS FOR NURSES AND 911 OPERATORS,2024-09-05,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by TogetherSF Action,781.0,FIRST RESPONDER STUDENT LOAN AND TRAINING REIMBURSEMENT FUND,2024-09-05,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by TogetherSF Action,219.0,FIRST RESPONDER STUDENT LOAN AND TRAINING REIMBURSEMENT FUND,2024-09-05,TogetherSF Action,OPPOSE,TogetherSF
COALITION TO GROW SAN FRANCISCO - GROW SF,950.0,CONNIE CHAN,2024-10-19,COALITION TO GROW SAN FRANCISCO - GROW SF PAC OPPOSING CHAN FOR SUPERVISOR 2024,OPPOSE,GrowSF
COALITION TO GROW SAN FRANCISCO - GROW SF,3875.0,DEAN PRESTON,2024-10-19,COALITION TO GROW SAN FRANCISCO - GROW SF PAC OPPOSING PRESTON FOR SUPERVISOR 2024,OPPOSE,GrowSF
TOGETHERSF ACTION,985.0,MARJAN PHILHOUR,2024-09-12,VOTE MARJAN PHILHOUR FOR SUPERVISOR 2024,SUPPORT,TogetherSF
TOGETHERSF ACTION,1185.0,TREVOR CHANDLER,2024-09-12,TREVOR CHANDLER FOR SUPERVISOR 2024,SUPPORT,TogetherSF
TOGETHERSF ACTION,985.0,MATTHEW BOSCHETTO,2024-09-25,MATT BOSCHETTO FOR D7 SUPERVISOR 2024,SUPPORT,TogetherSF
TOGETHERSF,1260.0,DANNY SAUTER,2024-09-19,DANNY SAUTER FOR SUPERVISOR 2024,SUPPORT,TogetherSF
ABUNDANCE NETWORK,20917.0,LONDON BREED,2024-09-26,"FORWARD ACTION SF, SUPPORTING LONDON BREED FOR MAYOR 2024, SPONSORED BY ABUNDANCE NETWORK",SUPPORT,Abundance Network
ABUNDANCE NETWORK,336.0,MICHAEL LAI,2024-10-11,MICHAEL LAI FOR SUPERVISOR 2024,SUPPORT,Abundance Network
ABUNDANCE NETWORK,346.0,SUPRYIA RAY,2024-10-15,RAY FOR SCHOOL BOARD 2024,SUPPORT,Abundance Network
GROWSF VOTER GUIDE,5000.0,ADDITIONAL BUSINESS TAX ON TRANSPORTATION NETWORK COMPANIES AND AUTONOMOUS VEHICLE BUSINESSES TO FUND PUBLIC TRANSPORTATION,2024-09-27,SF FOR MUNI ACCOUNTABILITY AND RELIABLE SERVICE - NO ON PROP L,OPPOSE,GrowSF
